회사명,카테고리,설명,링크
Sylvan Source (SSI),ENERGY,"We provide industrial-municipal water treatment plants and thermal energy recovery systems with superior energy efficiency, fewer points of failure, and up to 50% lower CapEx and OpEx.",https://www.plugandplaytechcenter.com/startup/sylvansource-com
Sylvera,ENERGY,Sylvera is a carbon intelligence platform that delivers comprehensive and accessible carbon ratings and insights.,https://www.plugandplaytechcenter.com/startup/sylvera-io
Symbiotic AI,HEALTH,Democratizing precision heart health.,https://www.plugandplaytechcenter.com/startup/symbioticai-ca
Symend,ENERGY,Symend is a leading SaaS company that turns difficult conversations and everyday moments into positive experiences across the entire customer journey. Symend’s Behavioral Engagement PlatformTM delivers digital experiences that are hyper-personalized based on the science behind consumer behavior.,https://www.plugandplaytechcenter.com/startup/symend-com
Symmetrical.ai,FINTECH,Credit Cloud powered by financial service-as-a-code architecture.,https://www.plugandplaytechcenter.com/startup/symmetrical-ai
syn2core,ADVANCED MANUFACTURING,A wearable AI Co-Pilot to eliminate human errors in automotive assembly as our first vertical.,https://www.plugandplaytechcenter.com/startup/syn2core-com
Synbiote,NEW MATERIALS & PACKAGING,"Synbiote is a next-gen bioplastic engineered for mass-scale production, addressing sustainable development goals by transforming post-brew waste into high-performance bioplastics.",https://www.plugandplaytechcenter.com/startup/synbiote-com
Syndi Health,HEALTH,"Syndi is the Netflix of Digital Health - Seamlessly and intelligently connect the care, data, and money of all digital health stakeholders through an integrated aggregation and recommendation platform.",https://www.plugandplaytechcenter.com/startup/syndi-health
Synop,MOBILITY,Building the backbone of commercial EVs.,https://www.plugandplaytechcenter.com/startup/synop-ai
Synthera.ai,FINTECH,"We generate realistic yield curves, stock prices, FX rates and more using cutting edge generative AI.",https://www.plugandplaytechcenter.com/startup/synthera-ai
t+1,INSURTECH,"The next gen actuarial modelling platform for life and annuity products. Uniquely cloud native, GPU powered and no code.",https://www.plugandplaytechcenter.com/startup/tplus-one
T-Lab,DEEPTECH,T-Lab is an AI-driven international Chinese language learning platform.,https://www.plugandplaytechcenter.com/startup/tlab-fun
T-robotics,DEEPTECH,Trains AI-powered physical skills for robots,https://www.plugandplaytechcenter.com/startup/t-robotics-ai
Tabia,HEALTH,"Software for care orchestration, leveraging AI",https://www.plugandplaytechcenter.com/startup/tabia-health
Takalam,HEALTH,"Takalam is an online counseling and mental well-being platform offering a convenient and personalized solution to individuals, couples, and organizations through a seamless digital experience using video, audio and instant messaging, with an option of anonymity.",https://www.plugandplaytechcenter.com/startup/takalamhere-com
Taktile,FINTECH,"Empowering decision makers and credit risk teams of fintechs and banks worldwide to actively design, test and iterate on their credit risk policies to make excellent risk decisions at scale.",https://www.plugandplaytechcenter.com/startup/taktile-com
Talentia,DEEPTECH,Talentia help companies and organizations teach their communities online,https://www.plugandplaytechcenter.com/startup/talentia-mx
Talentspace,ENTERPRISE & AI,"All-in-one virtual career platform, where you can join, engage in or build your own recruiting events.",https://www.plugandplaytechcenter.com/startup/talentspace-io
Talkbase,BRAND & RETAIL,"At Talkbase, we've built the first customizable analytics dashboard for communities. With Talkbase Analytics, you can prove the cross-functional value of your community to the business by showing the data your executive team needs.",https://www.plugandplaytechcenter.com/startup/talkbase-io
Tallgeese AI,ADVANCED MANUFACTURING,"Tallgeese AI, the ultimate privacy-first Edge AI workstation designed to power cutting-edge generative AI software",https://www.plugandplaytechcenter.com/startup/tallgeese-ai
Taloflow,ENTERPRISE & AI,Collaborative Technology Evaluation Platform for Enterprise,https://www.plugandplaytechcenter.com/startup/taloflow-ai
Tangara energy,ENERGY,"Tangara is a data analytics platform allowing users to analyze site locations and predict energy demand, transforming the landscape of electric truck charging",https://www.plugandplaytechcenter.com/startup/tangara-app-com
Tanken,ENERGY,"Tanken is an electronic payment system that uses NFC in the gas and automobile industry in order to offer more control, security and efficiency to our partners",https://www.plugandplaytechcenter.com/startup/tanken-mx
Tanktwo,ENERGY,The world’s First AI-driven software-defined batteries,https://www.plugandplaytechcenter.com/startup/tanktwo-com
Tapi,FINTECH,Tapi is a fintech firm that helps and supports companies provide simple and regional payment solutions.,https://www.plugandplaytechcenter.com/startup/tapi-la
Taubyte,MOBILITY,"The simplest path for developers to build, run and scale edge-native applications",https://www.plugandplaytechcenter.com/startup/taubyte-com
TCARE Inc.,INSURTECH,"TCARE mitigates Long-Term-Care claims and retains family wealth by providing an evidence-based Aging-in-Place solution, preventing the burnout of family caregivers.",https://www.plugandplaytechcenter.com/startup/tcare-ai
Teleskope,ENTERPRISE & AI,"Teleskope is a modern, AI-driven data protection platform that helps you automate data security, privacy, and compliance at scale, from detection to remediation",https://www.plugandplaytechcenter.com/startup/teleskope-ai
TeleTails,ANIMAL HEALTH,"TeleTails is a veterinary telehealth platform that provides live video, messaging, and payment capabilities for pet owners.",https://www.plugandplaytechcenter.com/startup/teletails-com
Telling.ai,MOBILITY,Telling.ai modernizes respiratory wellness the way in-home glucose monitoring transformed diabetes care.,https://www.plugandplaytechcenter.com/startup/telling-ai
Telly,BRAND & RETAIL,Telly is a video on demand service delivering the best movies and TV shows from Hollywood and Arabia to customers in the MENA region.,https://www.plugandplaytechcenter.com/startup/telly-com
"Telly, Inc.",MEDIA & ADVERTISING,Telly offers the first Dual Screen Smart TV.,https://www.plugandplaytechcenter.com/startup/freetelly-com
Tempo,BRAND & RETAIL,Tempo captures insights and automatically enhances retail and hospitality spaces to personalize the experience,https://www.plugandplaytechcenter.com/startup/tempo-studio
tenac.io,MOBILITY,AI-driven therapy optimization for cardiovascular patients to prevent major CV events and to reduce cost.,https://www.plugandplaytechcenter.com/startup/tenac-io
Tend.ai,MOBILITY,Predictive Analytics for Industrial Robotics,https://www.plugandplaytechcenter.com/startup/tend-ai
Tendo,BRAND & RETAIL,Tendo is a social commerce platform that enables anyone to start an online shop with zero capital.,https://www.plugandplaytechcenter.com/startup/tendo-app
Tensor Energy,ENERGY,"Creating the operating system of our zero-carbon, distributed energy future",https://www.plugandplaytechcenter.com/startup/tensorenergy-jp
Tensorlake,ENTERPRISE & AI,Tensorlake is building services for building Unstructured Data Understanding and Extraction pipelines for LLM Applications in enterprises.,https://www.plugandplaytechcenter.com/startup/tensorlake-ai
TensorOpera (formerly FedML),INSURTECH,FedML provides a platform & marketplace for decentralized and collaborative ML models and AI applications.,https://www.plugandplaytechcenter.com/startup/fedml-ai
TenureX,FINTECH,"TenureX building Corresponding Banking As A service platform. We enable creating and running smart, streamlined, controlled, and transparent correspondent banking relationships between FI's.",https://www.plugandplaytechcenter.com/startup/tenurex-com
Terecircuits,NEW MATERIALS & PACKAGING,Terecircuits develops processes and materials to support microassembly and mass transfer for displays and advanced electronics.,https://www.plugandplaytechcenter.com/startup/terecircuits-com
Terra AI,ENERGY,"Intelligent systems to model and optimize development of renewable energy installations, hydrogen/carbon storage reservoirs, and critical mineral resources.",https://www.plugandplaytechcenter.com/startup/terraai-earth
Terracle,NEW MATERIALS & PACKAGING,"Terracle produces high-purity Recycled TPA(terephthalic acid) and EG(ethylene glycol) from disposable coffee cups, low-grade waste plastics, polyester, and PETs-the most generated waste plastics- using Chemical recycling technology (Depolymerization).",https://www.plugandplaytechcenter.com/startup/terracle-im
Terran Robotics,SUSTAINABILITY,Turning dirt into extraordinary homes,https://www.plugandplaytechcenter.com/startup/terranrobotics-ai
TerraZero,DEEPTECH,"TerraZero is a metaverse agency that helps brands build experiences in the metaverse, by helping them with creation, deployment, and platform development.",https://www.plugandplaytechcenter.com/startup/terrazero-com
Terrra,NEW MATERIALS & PACKAGING,"Terrra is democratizing wetlands carbon removal through a technology platform to measure, manage and issue carbon credits.",https://www.plugandplaytechcenter.com/startup/terrra-one
Test Startup One,카테고리 없음,Innovation Software,https://www.plugandplaytechcenter.com/startup/app-playbook-vc
TestCard,HEALTH,"TestCard enables an individual to take ownership of their health, making laboratory level information accessible and painless and thus enfranchising the individual and ultimately democratising healthcare.",https://www.plugandplaytechcenter.com/startup/testcard-com
Testudo | Insurance for AI risks,FINTECH,We help businesses manage AI related risks with a new category of insurance.,https://www.plugandplaytechcenter.com/startup/testudo-co
Thalo Labs,SUSTAINABILITY,"Thalos Labs has built a point of source carbon capture system and mitigation platform consisting of comprehensive, full stack solutions to revolutionize and transform the built environment.",https://www.plugandplaytechcenter.com/startup/thalolabs-com
The AcadeMe,ENTERPRISE & AI,Career Advancement Education Platform for Women.,https://www.plugandplaytechcenter.com/startup/the-academe-com
The Applied AI Company (AAICO),INSURTECH,"The Applied AI Company builds products to automate human processes within insurance, pharmaceutical, healthcare and government.",https://www.plugandplaytechcenter.com/startup/aaico-com
The Bouqs Company,HEALTH,The Bouqs Company is a cut-to-order online flower delivery service.,https://www.plugandplaytechcenter.com/startup/bouqs-com
The Care Group,HEALTH,CARE Group is a mental health technology organization committed to health optimization and saving lives using our innovative and proprietary portfolio of subscription-based (SaaS) software and virtual health services.,https://www.plugandplaytechcenter.com/startup/thecaregroup-ca
The Digital Hotelier,SMART CITIES,"Hotels, Hotel apartments and Holiday Homes SaaS",https://www.plugandplaytechcenter.com/startup/thedigitalhotelier-com
The KNeW Company,SUSTAINABILITY,"We transform resources to create and provide fertilizers, water, and economic solutions to communities around the world.",https://www.plugandplaytechcenter.com/startup/theknewco-com
The Rubic,ADVANCED MANUFACTURING,The Rubic offers high-end service robotics solutions embedded with AI to resolve issues and increase productivity of your dense warehouse and fulfillment centers,https://www.plugandplaytechcenter.com/startup/therubic-com
TheUberCloud,ENERGY,Helping Mechanical Engineers Win with Cloud HPC.,https://www.plugandplaytechcenter.com/startup/theubercloud-com
Thin Air Nav Corp,AEROSPACE & DEFENSE,Thin Air has developed a solution that enables GPS style navigation for air vehicles in locations where aircraft GPS is being actively denied.,https://www.plugandplaytechcenter.com/startup/thinairnav-com
ThinkBe,카테고리 없음,Freeing AI from software entirely,https://www.plugandplaytechcenter.com/startup/thinkbe-co
Thiozen,SUSTAINABILITY,Thiozen develops novel hydrogen gas production technology designed to reduce greenhouse gases.,https://www.plugandplaytechcenter.com/startup/thiozen-com
Thread AI,ENTERPRISE & AI,"AI Orchestration platform for organizations to design, implement, and manage their mission-critical workflows.",https://www.plugandplaytechcenter.com/startup/threadai-com
Threaded,MOBILITY,Streamlining manufacturing through collaboration and version control.,https://www.plugandplaytechcenter.com/startup/threadedmfg-com
ThroughPut,FOOD & BEVERAGE,ThroughPut puts industrial operations on autopilot and improves free cash flow.,https://www.plugandplaytechcenter.com/startup/throughput-ai
Thrust Carbon,SUSTAINABILITY,We’re on a mission to make travel effortlessly green.,https://www.plugandplaytechcenter.com/startup/thrustcarbon-com
Thryve,HEALTH,"Quantbiome is an internet company that provides a quick, simple and affordable way to sequence microbiome.",https://www.plugandplaytechcenter.com/startup/quantbio-me
Tickle,BRAND & RETAIL,"Instantly 20X your ad engagement and first-party data with the World's first consumer-led ad network. No cookies, no fraud, just results.",https://www.plugandplaytechcenter.com/startup/jointickle-com
Tide Ocean SA,SUSTAINABILITY,"#tide - upcycling 100 % ocean-bound plastic waste, without chemicals or virgin plastic, transforming it into premium raw material for brands to use in new sustainable products, reducing the carbon dioxide emission, giving the plastic waste an economical, social, and environmental value.",https://www.plugandplaytechcenter.com/startup/tide-earth
Tint,DEEPTECH,Improve decisions with the right external data.,https://www.plugandplaytechcenter.com/startup/tint-ai
Titan Intake,HEALTH,Titan Intake has developed a one-of-a-kind platform to automate the patient intake and referral process.,https://www.plugandplaytechcenter.com/startup/titanintake-com
Togggle,MEDIA & ADVERTISING,Togggle provides decentralized KYC and one click verification services.,https://www.plugandplaytechcenter.com/startup/togggle-io
Token,FINTECH,"Token’s mission is to allow financial institutions, businesses, and people to instantly and securely move money.",https://www.plugandplaytechcenter.com/startup/token-io
tokenz,FOOD & BEVERAGE,"Tokenz offers a one- stop retailing platform for software and game businesses with localized payment options, allowing developers to focus on developing apps (Shopify for apps).",https://www.plugandplaytechcenter.com/startup/tokenz-one
Top Dish,FOOD & BEVERAGE,"Top Dish increases the capacity utilization of restaurants by filling empty tables, simultaneously collecting key data metrics from guests, promoting restaurants on digital marketing platforms, and attracting first-time customers—all at a net-zero cost to the restaurant owner.",https://www.plugandplaytechcenter.com/startup/topdish-ca
TopoLogic Inc.,NEW MATERIALS & PACKAGING,"Development of high -speed, high sensitivity, built -in thermal flow sensors and compact thermoelectric power generation devices using quantum mechanics materials / 量子力学材料を用いた、高速・高感度・組み込み可能な熱流センサやコンパクトな熱電発電デバイスの開発",https://www.plugandplaytechcenter.com/startup/topologic-jp
Toposens,ENERGY,Toposens builds highly robust and low-cost near-field 3D ultrasound vision technology for robotics and autonomous vehicles.,https://www.plugandplaytechcenter.com/startup/toposens-com
Tortoise,MOBILITY,Remote-Controlled Sidewalk Delivery and Logistics.,https://www.plugandplaytechcenter.com/startup/tortoise-dev
Tovnet,GLOBAL OVERSEAS ACCELERATION & LEARNING (GOAL),Energy-independent solar camera provider for climate response,https://www.plugandplaytechcenter.com/startup/tovnet-co-kr
TPA Stream Inc.,INSURTECH,"It's like ""Plaid"" for health data through logging in with health insurance credentials.",https://www.plugandplaytechcenter.com/startup/tpastream-com
Trace Orthopedics,MEDTECH,"Trace Orthopedics offers a medical device for tendon reattachment without surgery. They also offer a new, minimally invasive procedure by utilizing the interior space of a needle to accommodate a screw and wire coil implant.",https://www.plugandplaytechcenter.com/startup/traceorthopedics-com
Trace Technologies Pte Ltd,ENTERPRISE & AI,Trace+ is an enterprise SaaS platform to drive productivity in people intensive operations.,https://www.plugandplaytechcenter.com/startup/traceplus-ai
Tractable,MOBILITY,Tractable develops artificial intelligence for accident and disaster recovery.,https://www.plugandplaytechcenter.com/startup/tractable-ai
TradeBuza,AGTECH,TradeBuza is a tech-enabled commodities sourcing platform for commodities aggregators and outgrower schemes.,https://www.plugandplaytechcenter.com/startup/tradebuza-com
Trader Mob,FINTECH,Risk Free Trading. Real Rewards. Real Learning.,https://www.plugandplaytechcenter.com/startup/tradermob-com
TradeUp,ENTERPRISE & AI,We fund the next generation of skilled workers.,https://www.plugandplaytechcenter.com/startup/wetradeup-com
TraDove,DEEPTECH,"TraDove, Inc. is a social networking site focused on business to business marketing.",https://www.plugandplaytechcenter.com/startup/tradove-com
TranscribeMe,BRAND & RETAIL,"TranscribeMe converts voice to text, fast.",https://www.plugandplaytechcenter.com/startup/transcribeme-com
Transitry,SUSTAINABILITY,"Enabling business to achieve net zero goals by supporting carbon farming via digital MRV (Measurement, Reporting and Verification)",https://www.plugandplaytechcenter.com/startup/transitry-com
Travel Stride,TRAVEL & HOSPITALITY,"Travel Stride connects travelers with their perfect expert-planned trip. Stride is the #1 US marketplace for tour, cruise, and adventure packages.",https://www.plugandplaytechcenter.com/startup/stridetravel-com
trebu,SUPPLY CHAIN,"We automate logistics tasks in emerging markets and US-Mexico cross border, starting with order entry via email and whatsapp.",https://www.plugandplaytechcenter.com/startup/trebu-ai
TrelliSense,ENERGY,"We measure. You cut. Emissions detection, localization, and quantification for sites of all shapes and sizes.",https://www.plugandplaytechcenter.com/startup/trellisense-com
TRIC Robotics,AGTECH,Helping farmers control pests and disease with ultraviolet light in place of chemical pesticides,https://www.plugandplaytechcenter.com/startup/tricrobotics-com
TripAdd,TRAVEL & HOSPITALITY,"Travel Ancillary Marketplace and Management Platform, Powered By AI.",https://www.plugandplaytechcenter.com/startup/tripadd-com
Tripbtoz,TRAVEL & HOSPITALITY,The next generation of Online Travel Agency,https://www.plugandplaytechcenter.com/startup/tripbtoz-com
Triple,FINTECH,"We are building a better loyalty solution that is universal, seamless and offers real value to the users",https://www.plugandplaytechcenter.com/startup/jointriple-com
TROES Corp.,ENERGY,"TROES is a Canadian company specializing in smart power energy storage technologies, products and solutions in a $170B market. We are an asset light tech company with systems powered by proprietary hardware & software tech which have been certified, commercialized and deployed globally.",https://www.plugandplaytechcenter.com/startup/troescorp-com
Troop,TRAVEL & HOSPITALITY,"Troop Travel aggregates thousands of data points, enabling corporate travel managers and meeting planners to select event destinations based on Big data which allow corporations to optimize meetings and events planning",https://www.plugandplaytechcenter.com/startup/trooptravel-com
truckoo,MOBILITY,The purchasing network for dealers and repair shops.,https://www.plugandplaytechcenter.com/startup/truckoo-com
TruckPad,ENERGY,"TruckPad is a platform for managing and hiring freelance truck drivers to reduce costs, optimize processes, and reduce environmental impact.",https://www.plugandplaytechcenter.com/startup/truckpad-com-br
Trudenty,FINTECH,"The Trudenty Trust Network is a machine-learning powered blockchain that provides merchants, acquirers and issuers with 360 consumer fraud risk intelligence to prevent friendly fraud by enabling the identification and differentiation between trusted consumers and friendly fraudsters.",https://www.plugandplaytechcenter.com/startup/trudenty-com
Truebill,카테고리 없음,"Truebill is the first platform that allows users to find, track and manage their subscription services and recurring bills.",https://www.plugandplaytechcenter.com/startup/truebill-com
TrueCare24,HEALTH,In-Home Senior Care Automation Platform,https://www.plugandplaytechcenter.com/startup/truecare24-com
Trueclaim.ai,ENTERPRISE & AI,Trueclaim.ai is an AI-powered software-as-a-service company that detects and estimates vehicle damages with photos.,https://www.plugandplaytechcenter.com/startup/trueclaim-ai
Truffle Systems,FOOD & BEVERAGE,"Automate your operations with omnichannel solutions for enterprise food & beverage. Transform your front of house with Truffle. Automate ordering and pickup, reduce labor costs, and deliver unforgettable guest experiences.",https://www.plugandplaytechcenter.com/startup/trufflesystems-io
Truffls,ENTERPRISE & AI,Truffls offers job searching and recruiting app.,https://www.plugandplaytechcenter.com/startup/truffls-de
Trulioo,FINTECH,"Trulioo, the leading global identity & business verification service, provides instant electronic identity & business verification for 5 billion people and 250 million companies worldwide.",https://www.plugandplaytechcenter.com/startup/trulioo-com
TrustClarity,카테고리 없음,TrustClarity is a B2B software as a service (SaaS) storefront platform.,https://www.plugandplaytechcenter.com/startup/trustclarity-com
Trusty.care,HEALTH,"Platform to quote, enroll, CRM and commission tracking for Medicare insurance products",https://www.plugandplaytechcenter.com/startup/trusty-care
Tubular Network,SUPPLY CHAIN,To move goods more like we do information.,https://www.plugandplaytechcenter.com/startup/tubular-network
Turbodega,SUPPLY CHAIN,Digitizing the supply chain of small grocery stores in Latam,https://www.plugandplaytechcenter.com/startup/turbodega-com
Turing,ENTERPRISE & AI,"Turing’s intelligent talent cloud provides fast,on-demand hiring of remote software engineers vetted to a Silicon Valley standard for coding, communication, and performance. Turing can help scale engineering teams on-demand, and enable unprecedented scale, velocity, and accuracy for companies.",https://www.plugandplaytechcenter.com/startup/turing-com
Turing Enterprises,ENTERPRISE & AI,Turing Enterprises is a stealth technology company.,https://www.plugandplaytechcenter.com/startup/turing-ly
Tuuli,SMART CITIES,Getting greener materials into building construction,https://www.plugandplaytechcenter.com/startup/trytuuli-com
Tuum,FINTECH,"Tuum is a cloud-native, next-generation core banking platform.",https://www.plugandplaytechcenter.com/startup/tuumplatform-com
Twidlee,MEDIA & ADVERTISING,Twidlee is a platform for restaurants to offer time-sensitive flash deals to maximize sales in less busy hours.,https://www.plugandplaytechcenter.com/startup/twidlee-com
Twiser,ENTERPRISE & AI,Twiser is a people-oriented performance management platform.Twiser is a fast-growing SaaS company specializing in OKR and performance management and aiming to help organizations all over the world cultivate strategy execution.,https://www.plugandplaytechcenter.com/startup/twiser-com
Tyrehub,SUPPLY CHAIN,"Tyrehub is a developer of tire intelligent testing equipment. Their products can automatically detect the pattern wear of tires, checking whether it needs to be used for four-wheel positioning, braking distance of wear conditions, etc.",https://www.plugandplaytechcenter.com/startup/x-treads-com
UbiQD,ENERGY,Nanomaterials to decarbonize the built environment,https://www.plugandplaytechcenter.com/startup/ubiqd-com
Ucaneo,SUSTAINABILITY,We build the lung for the planet,https://www.plugandplaytechcenter.com/startup/ucaneo-com
ucrop.it,FOOD & BEVERAGE,ucrop.it operates as a blockchain farming and crop traceability platform that delivers certainty across crop cycles.,https://www.plugandplaytechcenter.com/startup/ucrop-it
UINCS,NEW MATERIALS & PACKAGING,"Uincs simplifies the way sensors and human machine user interfaces are integrated on mobility and automotive components, just by merging printed electronics with the freedom of selecting substrates and creating unlimited design forms.",https://www.plugandplaytechcenter.com/startup/uincs-tech-com
Umami Meats,FOOD & BEVERAGE,"At Umami Meats, we are pioneering “not caught” seafood by cultivating delicious, nutritious, affordable cultivated ocean protein that is better for our health, our oceans, and our future.",https://www.plugandplaytechcenter.com/startup/umamimeats-com
Una Health,HEALTH,"The most effective Digital Therapy to reverse metabolic dysfunction based on mobile technology, biosensors, AI and behavioral science.",https://www.plugandplaytechcenter.com/startup/unahealth-io
Unbound Potential,SUPPLY CHAIN,The focus of UP is to create innovative solutions for long-term energy storage based on a novel membrane-less redox flow battery technology.,https://www.plugandplaytechcenter.com/startup/unbound-potential-com
Uncovered,SMART CITIES,Uncovered is an automated competitive intelligence product for B2B SaaS.,https://www.plugandplaytechcenter.com/startup/uncovered-so
UniBlox,INSURTECH,"Uniblox is a low-code/no-code, all-in-one platform designed for building modern application experiences.",https://www.plugandplaytechcenter.com/startup/uniblox-io
Unicobag,TRAVEL & HOSPITALITY,Unicobag is a software for baggage delivery services.,https://www.plugandplaytechcenter.com/startup/unicobag-com
Unifimoney,FINTECH,"Mobile app integrating high interest checking account, credit card and Robo investment platform designed for young high earners",https://www.plugandplaytechcenter.com/startup/unifimoney-com
UNLESS Collective,SUSTAINABILITY,UNLESS Collective makes plant-based streetwear designed to leave zero plastic waste.,https://www.plugandplaytechcenter.com/startup/unlesscollective-com
Unseen Bio,HEALTH,Unseen Bio is a digital health tech firm.,https://www.plugandplaytechcenter.com/startup/unseenbio-com
Upcycling+,ENERGY,"We manufacture low-carbon, cost-competitive fuels to help heavy-fleet reach their decarbonization goal, based on our proprietary plastic hydrogenolysis technology.",https://www.plugandplaytechcenter.com/startup/upcyclingpluschem-com
Upgraded Technologies,SUPPLY CHAIN,Upgraded sells and manages device subscription plans. Upgraded customers always own the latest and responsibly repurpose or recycle the old.,https://www.plugandplaytechcenter.com/startup/getupgraded-com
Uplift Labs,HEALTH,Uplift is an AI software company that provides human movement analysis to improve people’s performance in their everyday lives,https://www.plugandplaytechcenter.com/startup/uplift-ai
Uplinq,FINTECH,"Uplinq enhances small business underwriting outcomes by integrating billions of data points and AI driven insights from over $1.4 Trillion in lending, helping small business lenders globally refine their decision-making processes.",https://www.plugandplaytechcenter.com/startup/uplinq-co
Upside Robotics,AGTECH,AI scout & spray swarm system robots that eliminate the guesswork in nitrogen management,https://www.plugandplaytechcenter.com/startup/upsiderobotics-com
Upstock,ENTERPRISE & AI,Motivate Your Team With a Performance Equity Plan #Performanceequity,https://www.plugandplaytechcenter.com/startup/upstock-io
Upsurance,INSURTECH,Upsurance is a digital B2B commercial insurance marketplace operating between underwriters and retail brokers,https://www.plugandplaytechcenter.com/startup/upsurance-com
Upwell,SUPPLY CHAIN,Order to Cash Automation for Logistics,https://www.plugandplaytechcenter.com/startup/charleydehoney-com
Urban vertical greens,FOOD & BEVERAGE,"Urban Vertical Greens Inc. is a business corporation that provides Services in Agricultural Business planning, Vertical farming systems selection and setup, Location selection, SOPs to run systems",https://www.plugandplaytechcenter.com/startup/urbanverticalgreens-ca
Userguest.com,TRAVEL & HOSPITALITY,"Userguest provides hotels with technology, marketing tools and data-driven smart recommendations to maximize their website’s revenue",https://www.plugandplaytechcenter.com/startup/userguest-com
Ushur,MOBILITY,"Ushur provides intelligent customer engagement at any time, over virtually any channel.",https://www.plugandplaytechcenter.com/startup/ushur-com
USYNCRO,SUPPLY CHAIN,"Synchronizes Global trade. Simplify the management of your shipments by synchronizing every party involved, transactions and documents in one place.",https://www.plugandplaytechcenter.com/startup/usyncro-com
Vantiq,BRAND & RETAIL,VANTIQ is a software development and deployment platform that enables companies to digitize their business.,https://www.plugandplaytechcenter.com/startup/vantiq-com
Vara,HEALTH,Vara streamlines breast cancer screening with its AI-power workflow platform.,https://www.plugandplaytechcenter.com/startup/varahealthcare-com
Varinode,BRAND & RETAIL,Unified multi-retailer checkout API,https://www.plugandplaytechcenter.com/startup/varinode-com
Varme Energy,SUSTAINABILITY,Varme is developing the future of the Waste-to-Energy sector with integrated carbon capture,https://www.plugandplaytechcenter.com/startup/varme-ca
Vaulted Deep,SUSTAINABILITY,Vaulted Deep provides proven technology solutions for permanent carbon removal to promote local environmental and community health.,https://www.plugandplaytechcenter.com/startup/vaulteddeep-com
Vayyar Imaging,ENERGY,"Vayyar creates radar imaging sensors based on unique RF technology to monitor the environment in real-time. Vayyar HOME, the company's fall detection and monitoring device, helps keep seniors safe in their own home, making sure they get help in an emergency, without the use of cameras and wearables.",https://www.plugandplaytechcenter.com/startup/vayyar-com
Vector ML Analytics,FINTECH,Loan profitability and cash flow modeling platform for lending institutions,https://www.plugandplaytechcenter.com/startup/vectormla-com
Veecle,MOBILITY,Veecle provides a software framework that reduces the complexity and the cost of developing vehicles and enable an app-based ecosystem for mobility.,https://www.plugandplaytechcenter.com/startup/veecle-io
Veho,SUPPLY CHAIN,Veho is an end-to-end parcel delivery carrier for e-commerce companies.,https://www.plugandplaytechcenter.com/startup/shipveho-com
Vela,BRAND & RETAIL,"Connecting every seller, every platform, every product",https://www.plugandplaytechcenter.com/startup/welcome-getvela-com
Vela,SUSTAINABILITY,Paper packaging solutions to sustainably protect garments and other products throughout the supply chain. It’s time to replace your single-use plastic poly bags with something better – Vela™ paper bags.,https://www.plugandplaytechcenter.com/startup/vela-eco
Vellum,INSURTECH,Vellum is a data and analytics platform built specifically for the insurance and reinsurance industry.,https://www.plugandplaytechcenter.com/startup/velluminsurance-com
Velotax,FINTECH,We want to simplify the way people handle their taxes.,https://www.plugandplaytechcenter.com/startup/bolsapp-com-br
Venly,MEDIA & ADVERTISING,Venly is like Stripe but for web3 infrastructure instead of payments. It is a blockchain technology provider helping businesses integrate Web3 technology and onboard users seamlessly.,https://www.plugandplaytechcenter.com/startup/venly-io
Venteur,FINTECH,Venteur is an AI-powered benefits marketplace that empowers individuals to take control of their health care.,https://www.plugandplaytechcenter.com/startup/venteur-co
Ventory,SUPPLY CHAIN,Providing visibility and control of your field inventory!,https://www.plugandplaytechcenter.com/startup/ventory-io
VentriJect,GLOBAL OVERSEAS ACCELERATION & LEARNING (GOAL),"Dx/Device, Cardio health",https://www.plugandplaytechcenter.com/startup/urldefense-com
Ventus Tech,MOBILITY,High-resolution wind forecasts at road level.,https://www.plugandplaytechcenter.com/startup/ventus-tech-de
Verano.AI,SUSTAINABILITY,Regulatory Compliance Made AI Smart,https://www.plugandplaytechcenter.com/startup/verano-ai
Veratrak,HEALTH,"Veratrak is a SaaS workflow collaboration and master data management platform that allows pharmaceutical supply chain companies to share critical information with greater efficiency, security, and auditability.",https://www.plugandplaytechcenter.com/startup/veratrak-com
Verbal,INSURTECH,Verbal is a voice intelligence assistant for organizations that struggle to improve customer engagement and satisfaction by turning front-line staff into experts.,https://www.plugandplaytechcenter.com/startup/tryverbal-com
Veriply,ENERGY,Veriply is developing real-time internal audit tools for B2B transactions.,https://www.plugandplaytechcenter.com/startup/veriply-io
Vero Technologies,ENERGY,Welcome to the new era of leasing.,https://www.plugandplaytechcenter.com/startup/sayvero-com
Verofax,ENTERPRISE & AI,Augmented reality solution for Retail and Tourism to increase spend and customer satisfaction with immersive and personalized experiences at shopping and touristic destinations.,https://www.plugandplaytechcenter.com/startup/verofax-com
Verve,BRAND & RETAIL,Verve is a location-powered mobile marketing platform that connects advertisers with consumers to deliver successful business outcomes.,https://www.plugandplaytechcenter.com/startup/vervemobile-com
Verve Group,MEDIA & ADVERTISING,"Verve Group’s omnichannel ad platform connects advertisers, agencies, brands, and publishers to people in real time.",https://www.plugandplaytechcenter.com/startup/verve-com
Vespia,FINTECH,Vespia helps companies build trust with each other in a matter of seconds with the power of AI.,https://www.plugandplaytechcenter.com/startup/vespia-io
